['/images/fishmeat/egg.png', '/images/fishmeat/kebab.png', '/images/vegetables/eggplant.png', '/images/fishmeat/sausage.png']
['/images/drinks/water.png', '/images/fishmeat/sushi2.png', '/images/vegetables/chilli.png', '/images/icecream/icecream10.png']
['/images/household/hh18.png', '/images/vegetables/chilli.png', '/images/fruit/blueberry.png', '/images/household/hh8.png']
['/images/fishmeat/sausage2.png', '/images/sweets/sweets3.png', '/images/sweets/nutella.png', '/images/sweets/pancakes.png']
['/images/vegetables/broccoli.png', '/images/drinks/soda.png', '/images/fishmeat/sausage.png', '/images/icecream/icecream4.png']
['/images/fishmeat/eggs.png', '/images/sweets/croissant.png', '/images/fruit/raspberry.png', '/images/sweets/jam.png']
['/images/fruit/fig.png', '/images/sweets/cookie.png', '/images/drinks/champagne.png', '/images/fishmeat/cheese.png']
['/images/fishmeat/milk3.png', '/images/icecream/icecream12.png', '/images/fishmeat/octopus.png', '/images/icecream/icecream12.png']
['/images/fishmeat/cheese2.png', '/images/vegetables/onion.png', '/images/icecream/icecream3.png', '/images/sweets/cookie2.png']
['/images/vegetables/cabbage.png', '/images/vegetables/leaves.png', '/images/icecream/icecream6.png', '/images/sweets/cupcake1.png']
['/images/household/hh13.png', '/images/sweets/sweets2.png', '/images/household/hh11.png', '/images/icecream/icecream15.png']
['/images/drinks/starbucks2.png', '/images/icecream/icecream7.png', '/images/household/hh2.png', '/images/fruit/fig.png']
['/images/fishmeat/chicken.png', '/images/icecream/icecream9.png', '/images/fruit/lime.png', '/images/sweets/cupcake1.png']
['/images/fishmeat/meat1.png', '/images/sweets/jelly.png', '/images/vegetables/chilli.png', '/images/icecream/icecream15.png']
['/images/fishmeat/bacon.png', '/images/fruit/apple.png', '/images/drinks/wine1.png', '/images/fishmeat/eggs.png']
['/images/icecream/icecream3.png', '/images/drinks/water_glass.png', '/images/vegetables/corn.png', '/images/icecream/icecream1.png']
['/images/vegetables/soy.png', '/images/household/hh12.png', '/images/icecream/icecream9.png', '/images/household/hh8.png']
['/images/fishmeat/eggs.png', '/images/sweets/cookie.png', '/images/household/hh18.png', '/images/household/hh3.png']
['/images/sweets/cookie.png', '/images/icecream/icecream1.png', '/images/drinks/wine1.png', '/images/household/hh15.png']
['/images/vegetables/veggie1.png', '/images/household/hh18.png', '/images/fruit/cherry.png', '/images/fishmeat/sushi1.png']
['/images/sweets/sweets2.png', '/images/fishmeat/eggs.png', '/images/fishmeat/bacon.png', '/images/household/hh15.png']
['/images/household/hh8.png', '/images/household/hh12.png', '/images/icecream/icecream11.png', '/images/vegetables/chilli.png']
['/images/fishmeat/milk.png', '/images/drinks/wine2.png', '/images/fruit/apple.png', '/images/vegetables/onion.png']
['/images/vegetables/leak.png', '/images/drinks/wine2.png', '/images/vegetables/broccoli.png', '/images/household/hh3.png']
['/images/fishmeat/meatroll.png', '/images/vegetables/cabbage.png', '/images/household/hh3.png', '/images/icecream/icecream13.png']
['/images/fruit/orange.png', '/images/sweets/sweets3.png', '/images/household/hh8.png', '/images/icecream/icecream11.png']
['/images/fruit/lime.png', '/images/fishmeat/milk3.png', '/images/drinks/beer.png', '/images/sweets/sweets2.png']
['/images/sweets/sweets1.png', '/images/sweets/nutella.png', '/images/household/hh19.png', '/images/fruit/coconut.png']
['/images/vegetables/broccoli.png', '/images/household/hh17.png', '/images/fruit/orange.png', '/images/vegetables/onion.png']
['/images/sweets/cookie2.png', '/images/household/hh3.png', '/images/fruit/lemon.png', '/images/drinks/ontherocks.png']
['/images/household/hh17.png', '/images/household/hh7.png', '/images/fruit/pineapple.png', '/images/fishmeat/meat1.png']
['/images/icecream/icecream13.png', '/images/vegetables/avocado.png', '/images/fruit/strawberry.png', '/images/drinks/starbucks1.png']
['/images/household/hh3.png', '/images/fruit/lime.png', '/images/sweets/choco.png', '/images/drinks/wine2.png']
['/images/vegetables/leaves.png', '/images/fishmeat/sushi1.png', '/images/household/hh2.png', '/images/fishmeat/sausage2.png']
['/images/icecream/icecream9.png', '/images/household/hh18.png', '/images/fishmeat/sushi1.png', '/images/fishmeat/kebab.png']
['/images/drinks/wine1.png', '/images/household/hh6.png', '/images/sweets/jam2.png', '/images/fishmeat/shrimp.png']
['/images/fruit/lemon.png', '/images/fishmeat/sushi2.png', '/images/drinks/water2.png', '/images/sweets/nutella.png']
['/images/household/hh16.png', '/images/drinks/wine1.png', '/images/fruit/pineapple.png', '/images/sweets/jelly.png']
['/images/fishmeat/cheese2.png', '/images/drinks/starbucks2.png', '/images/fishmeat/cheese.png', '/images/fruit/pear.png']
['/images/fishmeat/salmon.png', '/images/fruit/apple.png', '/images/fishmeat/steak.png', '/images/sweets/sweets2.png']
['/images/fishmeat/salmon.png', '/images/household/hh6.png', '/images/household/hh16.png', '/images/drinks/wine2.png']
['/images/sweets/jam.png', '/images/sweets/sweets3.png', '/images/vegetables/cucumber.png', '/images/household/hh11.png']
['/images/icecream/icecream8.png', '/images/sweets/pancakes.png', '/images/vegetables/carrots.png', '/images/fruit/cherry.png']
['/images/sweets/jam.png', '/images/sweets/jelly.png', '/images/vegetables/avocado.png', '/images/fishmeat/milk.png']
['/images/household/hh18.png', '/images/drinks/beer.png', '/images/icecream/icecream14.png', '/images/icecream/icecream9.png']
['/images/vegetables/leak.png', '/images/sweets/cookie.png', '/images/sweets/sweets2.png', '/images/fruit/lemon.png']
['/images/fruit/lime.png', '/images/fishmeat/milk3.png', '/images/sweets/pancakes.png', '/images/sweets/honey.png']
['/images/household/hh2.png', '/images/sweets/white_donut.png', '/images/sweets/caramel_donut.png', '/images/sweets/jam.png']
['/images/fishmeat/meat2.png', '/images/fishmeat/fishroll.png', '/images/fishmeat/kebab.png', '/images/sweets/sweets2.png']
['/images/icecream/icecream5.png', '/images/vegetables/soy.png', '/images/vegetables/onion.png', '/images/drinks/beer.png']
['/images/fishmeat/meat1.png', '/images/sweets/honey.png', '/images/household/hh3.png', '/images/vegetables/tomato.png']
['/images/sweets/cupcake2.png', '/images/sweets/sweets2.png', '/images/sweets/lolipop.png', '/images/vegetables/garlic2.png']
['/images/sweets/lolipop.png', '/images/sweets/jelly.png', '/images/household/hh19.png', '/images/fishmeat/kebab.png']
['/images/household/hh1.png', '/images/icecream/icecream14.png', '/images/fishmeat/sausage.png', '/images/icecream/icecream8.png']
['/images/drinks/water_glass.png', '/images/icecream/icecream2.png', '/images/fishmeat/steak.png', '/images/vegetables/garlic2.png']
['/images/fruit/coconut.png', '/images/household/hh17.png', '/images/fishmeat/meat2.png', '/images/drinks/wine2.png']
['/images/sweets/choco.png', '/images/household/hh9.png', '/images/fishmeat/meatroll.png', '/images/fishmeat/eggs.png']
['/images/fruit/raspberry.png', '/images/vegetables/leaves.png', '/images/household/hh3.png', '/images/drinks/beer.png']
['/images/household/hh1.png', '/images/fishmeat/octopus.png', '/images/icecream/icecream13.png', '/images/fishmeat/egg2.png']
['/images/fishmeat/milk.png', '/images/drinks/wine2.png', '/images/fishmeat/sausage.png', '/images/icecream/icecream3.png']
['/images/fishmeat/sushi1.png', '/images/household/hh12.png', '/images/fishmeat/egg.png', '/images/sweets/pancake.png']
['/images/drinks/starbucks1.png', '/images/sweets/pancakes.png', '/images/drinks/ontherocks.png', '/images/icecream/icecream11.png']
['/images/icecream/icecream11.png', '/images/fishmeat/cheese.png', '/images/vegetables/cucumber.png', '/images/sweets/honey.png']
['/images/fishmeat/milk2.png', '/images/drinks/wine1.png', '/images/drinks/wine2.png', '/images/icecream/icecream1.png']
['/images/household/hh14.png', '/images/sweets/croissant.png', '/images/household/hh13.png', '/images/vegetables/carrots.png']
['/images/fishmeat/octopus.png', '/images/fishmeat/meat2.png', '/images/fishmeat/kebab.png', '/images/vegetables/garlic1.png']
['/images/vegetables/avocado.png', '/images/fishmeat/fish.png', '/images/fishmeat/chicken.png', '/images/vegetables/avocado.png']
['/images/vegetables/onion.png', '/images/vegetables/cucumber.png', '/images/sweets/choco.png', '/images/drinks/champagne.png']
['/images/fruit/fig.png', '/images/household/hh7.png', '/images/sweets/pancake.png', '/images/fruit/fig.png']
['/images/sweets/cupcake2.png', '/images/fishmeat/eggs.png', '/images/fruit/coconut.png', '/images/icecream/icecream6.png']
['/images/fruit/fig.png', '/images/vegetables/bellpepper.png', '/images/fruit/blueberry.png', '/images/sweets/cookie.png']
['/images/sweets/sweets3.png', '/images/vegetables/garlic2.png', '/images/household/hh3.png', '/images/fishmeat/fish.png']
['/images/icecream/icecream15.png', '/images/fruit/pear.png', '/images/icecream/icecream11.png', '/images/vegetables/tomato.png']
['/images/household/hh13.png', '/images/sweets/choco.png', '/images/icecream/icecream9.png', '/images/fishmeat/shrimp.png']
['/images/drinks/soda.png', '/images/fishmeat/shrimp.png', '/images/fishmeat/sausage2.png', '/images/household/hh13.png']
['/images/sweets/caramel_donut.png', '/images/drinks/starbucks2.png', '/images/icecream/icecream3.png', '/images/fruit/lime.png']
['/images/sweets/sweets3.png', '/images/icecream/icecream5.png', '/images/household/hh6.png', '/images/icecream/icecream1.png']
['/images/vegetables/eggplant.png', '/images/fruit/blueberry.png', '/images/fishmeat/eggs.png', '/images/fruit/lemon.png']
['/images/vegetables/broccoli.png', '/images/vegetables/garlic1.png', '/images/icecream/icecream15.png', '/images/fruit/grapes.png']
['/images/fishmeat/meat2.png', '/images/sweets/white_donut.png', '/images/sweets/nutella.png', '/images/household/hh14.png']
