['/images/drinks/water2.png', '/images/drinks/soda.png', '/images/sweets/sweets3.png', '/images/household/hh15.png']
['/images/icecream/icecream14.png', '/images/icecream/icecream2.png', '/images/icecream/icecream9.png', '/images/household/hh2.png']
['/images/sweets/cookie.png', '/images/sweets/croissant.png', '/images/fishmeat/egg2.png', '/images/drinks/margarita.png']
['/images/icecream/icecream6.png', '/images/vegetables/tomato.png', '/images/fruit/cherry.png', '/images/fruit/pineapple.png']
['/images/vegetables/corn.png', '/images/drinks/water2.png', '/images/fishmeat/chicken.png', '/images/fruit/orange.png']
['/images/vegetables/eggplant.png', '/images/fishmeat/milk3.png', '/images/fishmeat/milk.png', '/images/fruit/grapes.png']
['/images/icecream/icecream4.png', '/images/fishmeat/sausage.png', '/images/icecream/icecream12.png', '/images/fishmeat/salmon.png']
['/images/drinks/starbucks2.png', '/images/fishmeat/bacon.png', '/images/household/hh5.png', '/images/vegetables/garlic2.png']
['/images/drinks/starbucks1.png', '/images/sweets/honey.png', '/images/icecream/icecream8.png', '/images/sweets/lolipop.png']
['/images/icecream/icecream1.png', '/images/icecream/icecream13.png', '/images/sweets/nutella.png', '/images/fruit/blueberry.png']
['/images/household/hh20.png', '/images/vegetables/leak.png', '/images/sweets/pink_donut.png', '/images/fruit/cherry.png']
['/images/fruit/blueberry.png', '/images/fruit/fig.png', '/images/household/hh17.png', '/images/fishmeat/milk.png']
['/images/fruit/apple.png', '/images/icecream/icecream6.png', '/images/household/hh4.png', '/images/household/hh12.png']
['/images/fishmeat/milk2.png', '/images/vegetables/broccoli.png', '/images/icecream/icecream2.png', '/images/fruit/coconut.png']
['/images/fishmeat/sausage.png', '/images/fishmeat/meat1.png', '/images/sweets/sweets2.png', '/images/vegetables/broccoli.png']
['/images/fishmeat/salmon.png', '/images/drinks/wine2.png', '/images/fishmeat/egg.png', '/images/icecream/icecream6.png']
['/images/fishmeat/kebab.png', '/images/fishmeat/meat2.png', '/images/household/hh20.png', '/images/fruit/lime.png']
['/images/sweets/white_donut.png', '/images/drinks/wine2.png', '/images/fruit/orange.png', '/images/vegetables/garlic1.png']
['/images/fruit/blueberry.png', '/images/fishmeat/sushi1.png', '/images/fishmeat/chicken.png', '/images/icecream/icecream9.png']
['/images/sweets/cookie2.png', '/images/drinks/water2.png', '/images/household/hh2.png', '/images/drinks/water.png']
['/images/icecream/icecream7.png', '/images/fishmeat/eggs.png', '/images/household/hh6.png', '/images/drinks/margarita.png']
['/images/sweets/jam2.png', '/images/sweets/caramel_donut.png', '/images/icecream/icecream14.png', '/images/icecream/icecream5.png']
['/images/fishmeat/sausage2.png', '/images/sweets/cupcake2.png', '/images/drinks/starbucks2.png', '/images/sweets/jelly.png']
['/images/icecream/icecream8.png', '/images/drinks/champagne.png', '/images/household/hh7.png', '/images/household/hh12.png']
['/images/fishmeat/sushi1.png', '/images/icecream/icecream6.png', '/images/fruit/fig.png', '/images/fishmeat/sushi1.png']
['/images/icecream/icecream6.png', '/images/drinks/champagne.png', '/images/household/hh18.png', '/images/household/hh3.png']
['/images/vegetables/garlic1.png', '/images/sweets/cookie2.png', '/images/household/hh7.png', '/images/fishmeat/egg.png']
['/images/sweets/white_donut.png', '/images/sweets/pink_donut.png', '/images/sweets/cupcake2.png', '/images/fishmeat/cheese2.png']
['/images/vegetables/leaves.png', '/images/vegetables/cucumber.png', '/images/fruit/lemon.png', '/images/sweets/pancakes.png']
['/images/sweets/sweets1.png', '/images/sweets/pancake.png', '/images/vegetables/aspargus.png', '/images/drinks/champagne.png']
['/images/fishmeat/shrimp.png', '/images/fishmeat/shrimp.png', '/images/fishmeat/shrimp.png', '/images/sweets/jelly.png']
['/images/vegetables/leak.png', '/images/sweets/jelly.png', '/images/fishmeat/kebab.png', '/images/household/hh4.png']
['/images/household/hh4.png', '/images/fruit/watermelon.png', '/images/sweets/caramel_donut.png', '/images/drinks/champagne.png']
['/images/household/hh6.png', '/images/fishmeat/eggs.png', '/images/sweets/cupcake1.png', '/images/fishmeat/octopus.png']
['/images/fruit/banana.png', '/images/fishmeat/egg.png', '/images/sweets/cupcake1.png', '/images/icecream/icecream7.png']
['/images/sweets/pancakes.png', '/images/sweets/croissant.png', '/images/vegetables/cabbage.png', '/images/drinks/wine2.png']
['/images/drinks/starbucks2.png', '/images/fruit/coconut.png', '/images/household/hh2.png', '/images/fishmeat/cheese.png']
['/images/icecream/icecream14.png', '/images/fishmeat/meat1.png', '/images/icecream/icecream14.png', '/images/icecream/icecream3.png']
['/images/fishmeat/egg2.png', '/images/fruit/pineapple.png', '/images/household/hh20.png', '/images/drinks/wine1.png']
['/images/fishmeat/sausage2.png', '/images/household/hh3.png', '/images/fishmeat/meat1.png', '/images/fishmeat/sushi2.png']
['/images/sweets/pancakes.png', '/images/fruit/pineapple.png', '/images/drinks/wine1.png', '/images/vegetables/veggie1.png']
['/images/drinks/water_glass.png', '/images/sweets/honey.png', '/images/icecream/icecream2.png', '/images/vegetables/soy.png']
['/images/sweets/cookie.png', '/images/icecream/icecream4.png', '/images/vegetables/cucumber.png', '/images/fishmeat/egg2.png']
['/images/icecream/icecream8.png', '/images/fruit/strawberry.png', '/images/household/hh14.png', '/images/drinks/margarita.png']
['/images/sweets/honey.png', '/images/vegetables/corn.png', '/images/drinks/champagne.png', '/images/sweets/cupcake1.png']
['/images/icecream/icecream14.png', '/images/fishmeat/milk3.png', '/images/drinks/water.png', '/images/fishmeat/sausage.png']
['/images/household/hh8.png', '/images/sweets/lolipop.png', '/images/fruit/apple.png', '/images/fishmeat/sausage2.png']
['/images/fruit/fig.png', '/images/sweets/sweets3.png', '/images/sweets/jam.png', '/images/fishmeat/bacon.png']
['/images/fruit/fig.png', '/images/fruit/pear.png', '/images/household/hh12.png', '/images/drinks/starbucks2.png']
['/images/household/hh11.png', '/images/vegetables/leak.png', '/images/icecream/icecream12.png', '/images/household/hh1.png']
['/images/household/hh14.png', '/images/sweets/pancake.png', '/images/fruit/watermelon.png', '/images/sweets/cupcake2.png']
['/images/household/hh7.png', '/images/household/hh13.png', '/images/drinks/beer.png', '/images/fruit/cherry.png']
['/images/icecream/icecream9.png', '/images/vegetables/onion.png', '/images/drinks/starbucks2.png', '/images/fishmeat/octopus.png']
['/images/fruit/pineapple.png', '/images/sweets/pancake.png', '/images/vegetables/peas.png', '/images/fishmeat/bacon.png']
['/images/fruit/strawberry.png', '/images/drinks/starbucks1.png', '/images/drinks/beer.png', '/images/icecream/icecream6.png']
['/images/drinks/wine1.png', '/images/household/hh1.png', '/images/fishmeat/egg2.png', '/images/fishmeat/milk.png']
['/images/household/hh3.png', '/images/fishmeat/sushi1.png', '/images/fishmeat/meat2.png', '/images/icecream/icecream9.png']
['/images/fishmeat/sushi1.png', '/images/fishmeat/shrimp.png', '/images/fishmeat/milk.png', '/images/vegetables/carrots.png']
['/images/sweets/jam2.png', '/images/drinks/water_glass.png', '/images/household/hh10.png', '/images/vegetables/corn.png']
['/images/fruit/banana.png', '/images/vegetables/broccoli.png', '/images/vegetables/onion.png', '/images/fishmeat/milk3.png']
['/images/sweets/pancake.png', '/images/sweets/caramel_donut.png', '/images/fishmeat/milk.png', '/images/drinks/water2.png']
['/images/sweets/cookie2.png', '/images/sweets/nutella.png', '/images/household/hh1.png', '/images/icecream/icecream12.png']
['/images/drinks/champagne.png', '/images/vegetables/corn.png', '/images/fruit/fig.png', '/images/drinks/champagne.png']
['/images/sweets/choco.png', '/images/drinks/soda.png', '/images/vegetables/tomato.png', '/images/drinks/soda.png']
['/images/sweets/jam2.png', '/images/icecream/icecream12.png', '/images/fruit/raspberry.png', '/images/drinks/starbucks1.png']
['/images/vegetables/leak.png', '/images/fishmeat/milk.png', '/images/sweets/honey.png', '/images/household/hh8.png']
['/images/sweets/pink_donut.png', '/images/sweets/sweets3.png', '/images/vegetables/corn.png', '/images/vegetables/peas.png']
['/images/fruit/blueberry.png', '/images/fishmeat/milk3.png', '/images/sweets/jelly.png', '/images/fruit/banana.png']
['/images/fishmeat/sausage.png', '/images/sweets/cupcake1.png', '/images/household/hh10.png', '/images/fishmeat/milk3.png']
['/images/icecream/icecream14.png', '/images/icecream/icecream7.png', '/images/fruit/coconut.png', '/images/fishmeat/octopus.png']
['/images/sweets/caramel_donut.png', '/images/fishmeat/meat2.png', '/images/fruit/apple.png', '/images/icecream/icecream10.png']
['/images/household/hh2.png', '/images/fishmeat/cheese.png', '/images/icecream/icecream3.png', '/images/fishmeat/eggs.png']
['/images/sweets/jam2.png', '/images/vegetables/cabbage.png', '/images/sweets/nutella.png', '/images/household/hh16.png']
['/images/fishmeat/chicken.png', '/images/household/hh11.png', '/images/fishmeat/egg.png', '/images/sweets/jelly.png']
['/images/fishmeat/egg2.png', '/images/sweets/jelly.png', '/images/fishmeat/fishroll.png', '/images/household/hh10.png']
['/images/fruit/lime.png', '/images/sweets/white_donut.png', '/images/drinks/margarita.png', '/images/fishmeat/bacon.png']
['/images/icecream/icecream6.png', '/images/vegetables/avocado.png', '/images/icecream/icecream5.png', '/images/fishmeat/meat1.png']
['/images/fruit/apple.png', '/images/icecream/icecream9.png', '/images/sweets/white_donut.png', '/images/drinks/soda.png']
['/images/sweets/jelly.png', '/images/vegetables/cabbage.png', '/images/icecream/icecream10.png', '/images/fishmeat/milk2.png']
['/images/household/hh3.png', '/images/drinks/water_glass.png', '/images/sweets/cookie.png', '/images/fishmeat/egg2.png']
['/images/vegetables/avocado.png', '/images/drinks/water.png', '/images/fruit/grapes.png', '/images/fruit/orange.png']
['/images/icecream/icecream9.png', '/images/fishmeat/sausage.png', '/images/sweets/cupcake1.png', '/images/sweets/lolipop.png']
['/images/household/hh20.png', '/images/household/hh1.png', '/images/fruit/orange.png', '/images/vegetables/garlic2.png']
['/images/fishmeat/sushi2.png', '/images/fishmeat/sushi1.png', '/images/vegetables/aspargus.png', '/images/fruit/lemon.png']
