['/images/sweets/cookie.png', '/images/sweets/sweets1.png', '/images/vegetables/avocado.png', '/images/fishmeat/egg.png']
['/images/sweets/croissant.png', '/images/drinks/starbucks1.png', '/images/fishmeat/chicken.png', '/images/fishmeat/shrimp.png']
['/images/household/hh14.png', '/images/household/hh11.png', '/images/vegetables/peas.png', '/images/fishmeat/egg2.png']
['/images/drinks/pepsi.png', '/images/fishmeat/salmon.png', '/images/fruit/strawberry.png', '/images/fishmeat/bacon.png']
['/images/icecream/icecream9.png', '/images/household/hh12.png', '/images/sweets/jelly.png', '/images/vegetables/broccoli.png']
['/images/household/hh15.png', '/images/fishmeat/fish.png', '/images/sweets/sweets2.png', '/images/icecream/icecream4.png']
['/images/sweets/pancakes.png', '/images/household/hh17.png', '/images/household/hh16.png', '/images/vegetables/peas.png']
['/images/fruit/raspberry.png', '/images/vegetables/eggplant.png', '/images/sweets/cupcake1.png', '/images/fruit/lime.png']
['/images/drinks/pepsi.png', '/images/fishmeat/meat2.png', '/images/icecream/icecream8.png', '/images/vegetables/chilli.png']
['/images/fishmeat/fishroll.png', '/images/drinks/water_glass.png', '/images/icecream/icecream10.png', '/images/fruit/fig.png']
['/images/vegetables/cucumber.png', '/images/vegetables/avocado.png', '/images/icecream/icecream13.png', '/images/sweets/sweets1.png']
['/images/vegetables/corn.png', '/images/household/hh15.png', '/images/fishmeat/kebab.png', '/images/sweets/sweets2.png']
['/images/drinks/wine2.png', '/images/household/hh12.png', '/images/fishmeat/cheese2.png', '/images/vegetables/broccoli.png']
['/images/drinks/wine1.png', '/images/household/hh12.png', '/images/fishmeat/chicken.png', '/images/fishmeat/meat1.png']
['/images/sweets/cupcake1.png', '/images/household/hh10.png', '/images/household/hh20.png', '/images/fruit/raspberry.png']
['/images/vegetables/avocado.png', '/images/household/hh3.png', '/images/household/hh18.png', '/images/vegetables/onion.png']
